series_release,series_code,series_description,geoAreaCode,X,Y,ISO3CD,geoAreaName,sliceId,Age,Sex,Units,Age_description,Sex_description,Units_description,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,last_5_years_mean,latest_year,latest_value,latest_source,latest_nature,FID
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",438,9.552985019,47.14167005,LIE,Liechtenstein,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,1
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",438,9.552985019,47.14167005,LIE,Liechtenstein,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,2
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",440,23.90517807,55.33680309,LTU,Lithuania,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,3
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",440,23.90517807,55.33680309,LTU,Lithuania,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,4
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",442,6.092656563,49.77679538,LUX,Luxembourg,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,5
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",442,6.092656563,49.77679538,LUX,Luxembourg,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,6
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",446,113.5665388,22.1237259,MAC,"China, Macao Special Administrative Region",1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,7
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",446,113.5665388,22.1237259,MAC,"China, Macao Special Administrative Region",2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,8
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",450,46.6982339,-19.38514785,MDG,Madagascar,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,9
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",450,46.6982339,-19.38514785,MDG,Madagascar,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,10
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",454,33.4884625,-13.40819859,MWI,Malawi,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,4.100000,,4.100000,2015,4.100000,DHS,C,11
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",454,33.4884625,-13.40819859,MWI,Malawi,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,12
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",458,116.8346314,5.452415309,MYS,Malaysia,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,13
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",458,116.8346314,5.452415309,MYS,Malaysia,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,14
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",462,73.09672546,-0.614385021,MDV,Maldives,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,15
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",462,73.09672546,-0.614385021,MDV,Maldives,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,16
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",466,-3.522016039,17.35311254,MLI,Mali,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,17
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",466,-3.522016039,17.35311254,MLI,Mali,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,18
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",470,14.44617519,35.89194275,MLT,Malta,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,19
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",470,14.44617519,35.89194275,MLT,Malta,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,20
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",474,-60.91544135,14.56086108,MTQ,Martinique,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,21
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",474,-60.91544135,14.56086108,MTQ,Martinique,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,22
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",478,-10.33187259,20.26089546,MRT,Mauritania,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,23
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",478,-10.33187259,20.26089546,MRT,Mauritania,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,24
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",480,57.568022,-20.28581998,MUS,Mauritius,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,25
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",480,57.568022,-20.28581998,MUS,Mauritius,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,26
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",484,-102.5148166,23.93378032,MEX,Mexico,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,27
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",484,-102.5148166,23.93378032,MEX,Mexico,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,28
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",492,7.424214814,43.73532918,MCO,Monaco,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,29
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",492,7.424214814,43.73532918,MCO,Monaco,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,30
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",496,103.0728057,46.83892054,MNG,Mongolia,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,31
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",496,103.0728057,46.83892054,MNG,Mongolia,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,32
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",498,28.4650624,47.20236795,MDA,Republic of Moldova,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,5.22623906845974,,,,,,,,,,,,,2005,5.226239,DHS,C,33
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",498,28.4650624,47.20236795,MDA,Republic of Moldova,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,34
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",499,19.25214024,42.78717043,MNE,Montenegro,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,35
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",499,19.25214024,42.78717043,MNE,Montenegro,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,36
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",500,-62.19261223,16.73558313,MSR,Montserrat,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,37
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",500,-62.19261223,16.73558313,MSR,Montserrat,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,38
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",504,-6.281942841,31.8440131,MAR,Morocco,1,18-29,FEMALE,PERCENT,18 to 29 years old,Female,Percentage,,,,,,,,,,,,,,,,,,39
2018.Q2.G.01,VC_VAW_SXVLN,"Proportion of population aged 18-29 years who experienced sexual violence by age 18, by sex (% of population aged 18-29)",504,-6.281942841,31.8440131,MAR,Morocco,2,18-29,MALE,PERCENT,18 to 29 years old,Male,Percentage,,,,,,,,,,,,,,,,,,40
